"order_id","order_date","product_id","subtotal","discount","total","payment","purchase_status","discount_abs","is_confirmed","delivery_id","delivery_service","freight_price","delivery_forecast","delivery_date","delivery_status","delivery_lead_time","delivery_delay","estimated_lead_time","is_late","freight_share","is_cancelled","cancellation_by_payment","category","subcategory","product_price"
20,2025-03-10 10:30:01.000,P0020,149.70,0.0427,186.21,Credito,Em Analise,6.392190,0,D00020,Same-Day,42.90,2025-05-08 15:34:41.000,2025-05-13 15:34:41.000,Atrasado,64,5,59,1,0.23038504913806992106,0,Credito - Em Analise,Eletrônicos,Informática,174.90
21,2025-04-01 12:47:17.000,P0021,3253.14,0.0992,2973.33,PIX,Em Analise,322.711488,0,D00021,Same-Day,42.90,2025-05-03 13:18:34.000,2025-05-03 13:18:34.000,Atrasado,32,0,32,0,0.01442826729626378505,0,PIX - Em Analise,Eletrônicos,Informática,449.00
1052,2025-02-24 16:35:53.000,P0012,428.99,0.1098,414.88,PIX,Cancelado,47.103102,0,D01052,Scheduled,32.99,2025-04-22 01:10:11.000,2025-04-22 01:10:11.000,Trânsito,57,0,57,0,0.07951696876205167759,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1053,2025-03-17 09:31:24.000,P0012,7916.40,0.0317,7708.35,Boleto,Cancelado,250.949880,0,D01053,Same-Day,42.90,2025-05-09 14:34:03.000,2025-05-14 14:34:03.000,Entregue,58,5,53,1,0.00556539337212243865,1,Boleto - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1054,2025-03-13 19:59:16.000,P0012,1796.00,0.0700,1703.27,PIX,Em Analise,125.720000,0,D01054,Scheduled,32.99,2025-04-29 02:52:58.000,2025-05-01 02:52:58.000,Entregue,49,2,47,1,0.01936862623072090743,0,PIX - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1055,2025-03-29 09:01:30.000,P0012,1796.00,0.1470,1554.89,PIX,Em Analise,264.012000,0,D01055,Standard,22.90,2025-05-13 12:48:52.000,2025-05-16 12:48:52.000,Trânsito,48,3,45,1,0.01472772993587970853,0,PIX - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1056,2025-03-01 18:14:56.000,P0012,1286.97,0.0832,1202.79,PIX,Processando,107.075904,0,D01056,Standard,22.90,2025-05-11 00:30:36.000,2025-05-13 00:30:36.000,Trânsito,73,2,71,1,0.01903906750139259555,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1057,2025-02-26 17:58:13.000,P0012,524.70,0.1407,493.77,Debito,Cancelado,73.825290,0,D01057,Same-Day,42.90,2025-04-27 13:32:09.000,2025-04-28 13:32:09.000,Atrasado,61,1,60,1,0.08688255665593292424,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1058,2025-05-14 01:46:48.000,P0012,5484.26,0.1220,4858.08,Boleto,Em Analise,669.079720,0,D01058,Same-Day,42.90,2025-05-04 16:04:06.000,2025-05-09 16:04:06.000,Entregue,0,5,0,1,0.00883064914534136943,0,Boleto - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1059,2025-03-21 08:59:22.000,P0012,1799.01,0.0999,1652.28,Debito,Cancelado,179.721099,0,D01059,Scheduled,32.99,2025-04-17 05:39:37.000,2025-04-20 05:39:37.000,Trânsito,30,3,27,1,0.01996634952913549762,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1060,2025-04-27 07:45:00.000,P0012,2309.70,0.0524,2211.57,Boleto,Em Analise,121.028280,0,D01060,Standard,22.90,2025-04-24 22:54:15.000,2025-04-28 22:54:15.000,A Caminho,1,4,0,1,0.01035463494259734035,0,Boleto - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1061,2025-03-09 21:43:10.000,P0012,4316.00,0.0456,4162.09,Boleto,Cancelado,196.809600,0,D01061,Same-Day,42.90,2025-04-25 07:41:19.000,2025-04-28 07:41:19.000,A Caminho,50,3,47,1,0.01030732156200370487,1,Boleto - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1062,2025-03-02 00:58:24.000,P0012,2742.13,0.0965,2510.50,PIX,Processando,264.615545,0,D01062,Scheduled,32.99,2025-04-24 13:18:21.000,2025-04-26 13:18:21.000,A Caminho,55,2,53,1,0.01314080860386377216,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1063,2025-05-15 07:37:55.000,P0012,1715.96,0.0649,1627.49,Credito,Em Analise,111.365804,0,D01063,Standard,22.90,2025-04-20 20:55:34.000,2025-04-20 20:55:34.000,Trânsito,0,0,0,0,0.01407074697847605822,0,Credito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1064,2025-04-06 10:39:47.000,P0012,5484.26,0.1198,4850.15,Debito,Em Analise,657.014348,0,D01064,Standard,22.90,2025-04-24 15:52:11.000,2025-04-26 15:52:11.000,Trânsito,20,2,18,1,0.00472150345865591786,0,Debito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1065,2025-03-27 06:09:11.000,P0012,663.96,0.1141,631.10,Debito,Cancelado,75.757836,0,D01065,Same-Day,42.90,2025-04-27 22:24:27.000,2025-05-02 22:24:27.000,Entregue,36,5,31,1,0.06797654888290286801,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1066,2025-04-20 11:21:00.000,P0012,215.60,0.0468,228.41,PIX,Cancelado,10.090080,0,D01066,Standard,22.90,2025-04-29 05:08:16.000,2025-04-29 05:08:16.000,Trânsito,9,0,9,0,0.10025830742962217066,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1067,2025-05-02 06:54:55.000,P0012,103.60,0.1054,135.58,Debito,Confirmado,10.919440,1,D01067,Same-Day,42.90,2025-04-26 22:38:03.000,2025-04-28 22:38:03.000,A Caminho,0,2,0,1,0.31641835078920194719,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1068,2025-04-08 21:10:29.000,P0012,99.80,0.0742,125.38,Debito,Confirmado,7.405160,1,D01068,Scheduled,32.99,2025-04-27 21:16:40.000,2025-04-29 21:16:40.000,A Caminho,21,2,19,1,0.26312011485085340565,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1069,2025-05-17 07:22:12.000,P0012,1979.10,0.0485,1906.01,Credito,Confirmado,95.986350,1,D01069,Standard,22.90,2025-05-10 19:57:57.000,2025-05-15 19:57:57.000,Trânsito,0,5,0,1,0.01201462741538606828,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1070,2025-02-21 12:38:45.000,P0012,1347.00,0.0619,1306.52,Boleto,Em Analise,83.379300,0,D01070,Same-Day,42.90,2025-04-16 15:37:22.000,2025-04-20 15:37:22.000,A Caminho,58,4,54,1,0.03283531825000765392,0,Boleto - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1071,2025-05-10 05:12:28.000,P0012,1626.57,0.1343,1441.11,Debito,Cancelado,218.448351,0,D01071,Scheduled,32.99,2025-04-23 03:55:29.000,2025-04-28 03:55:29.000,Trânsito,0,5,0,1,0.02289207624678199443,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1072,2025-02-24 06:35:13.000,P0012,1715.96,0.0539,1666.37,Debito,Processando,92.490244,0,D01072,Same-Day,42.90,2025-04-15 02:10:58.000,2025-04-19 02:10:58.000,Trânsito,54,4,50,1,0.02574458253569135306,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1073,2025-02-19 18:41:28.000,P0012,898.00,0.0431,892.29,Credito,Confirmado,38.703800,1,D01073,Scheduled,32.99,2025-04-21 12:29:10.000,2025-04-26 12:29:10.000,Atrasado,66,5,61,1,0.03697228479530197582,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1074,2025-04-18 21:06:18.000,P0012,1079.00,0.0528,1055.02,Boleto,Confirmado,56.971200,1,D01074,Scheduled,32.99,2025-05-12 23:41:12.000,2025-05-12 23:41:12.000,Trânsito,24,0,24,0,0.03126954939242857955,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1076,2025-05-04 02:52:52.000,P0012,6099.98,0.0817,5624.51,PIX,Confirmado,498.368366,1,D01076,Standard,22.90,2025-04-22 00:03:56.000,2025-04-24 00:03:56.000,A Caminho,0,2,0,1,0.00407146578101914656,0,PIX - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1077,2025-04-09 19:33:20.000,P0012,49.90,0.0221,71.70,Debito,Processando,1.102790,0,D01077,Standard,22.90,2025-05-03 19:35:21.000,2025-05-03 19:35:21.000,Trânsito,24,0,24,0,0.31938633193863319386,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1078,2025-03-02 03:53:48.000,P0012,155.40,0.1226,169.34,Debito,Confirmado,19.052040,1,D01078,Scheduled,32.99,2025-05-04 02:55:38.000,2025-05-04 02:55:38.000,Trânsito,63,0,63,0,0.19481516475729301996,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1079,2025-02-26 12:34:51.000,P0012,949.00,0.0338,949.91,PIX,Em Analise,32.076200,0,D01079,Scheduled,32.99,2025-04-28 17:24:59.000,2025-04-29 17:24:59.000,Trânsito,62,1,61,1,0.03472960596267014770,0,PIX - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1080,2025-03-10 12:35:54.000,P0012,499.64,0.0897,477.72,Boleto,Confirmado,44.817708,1,D01080,Standard,22.90,2025-05-03 18:29:02.000,2025-05-03 18:29:02.000,A Caminho,54,0,54,0,0.04793602947333165871,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1081,2025-04-02 13:18:32.000,P0012,5484.26,0.0188,5424.06,Boleto,Processando,103.104088,0,D01081,Same-Day,42.90,2025-04-18 03:03:04.000,2025-04-19 03:03:04.000,Trânsito,17,1,16,1,0.00790920454419751994,0,Boleto - Processando,Eletrônicos,Áudio e Vídeo,769.90
1082,2025-03-07 23:16:40.000,P0012,769.90,0.1468,689.87,Boleto,Processando,113.021320,0,D01082,Scheduled,32.99,2025-04-27 13:57:33.000,2025-05-01 13:57:33.000,Trânsito,55,4,51,1,0.04782060388189079102,0,Boleto - Processando,Eletrônicos,Áudio e Vídeo,769.90
1083,2025-03-03 12:50:32.000,P0012,699.60,0.0682,684.88,Debito,Cancelado,47.712720,0,D01083,Scheduled,32.99,2025-05-07 17:56:25.000,2025-05-09 17:56:25.000,A Caminho,67,2,65,1,0.04816902231047774793,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1084,2025-04-20 22:35:41.000,P0012,2144.00,0.1233,1922.54,Debito,Confirmado,264.355200,1,D01084,Same-Day,42.90,2025-04-17 06:08:19.000,2025-04-18 06:08:19.000,Entregue,0,1,0,1,0.02231423013305314844,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1085,2025-04-20 20:34:25.000,P0012,71.60,0.1153,96.33,Boleto,Confirmado,8.255480,1,D01085,Scheduled,32.99,2025-04-27 18:04:43.000,2025-04-27 18:04:43.000,A Caminho,7,0,7,0,0.34246859752932627427,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1086,2025-03-07 10:06:48.000,P0012,1796.00,0.1071,1626.55,Credito,Processando,192.351600,0,D01086,Standard,22.90,2025-04-21 19:02:05.000,2025-04-21 19:02:05.000,Atrasado,45,0,45,0,0.01407887860809689220,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1087,2025-03-14 10:24:32.000,P0012,4316.00,0.1241,3813.37,Debito,Em Analise,535.615600,0,D01087,Scheduled,32.99,2025-04-17 17:13:21.000,2025-04-18 17:13:21.000,Trânsito,35,1,34,1,0.00865114059217962065,0,Debito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1088,2025-03-17 23:47:09.000,P0012,103.60,0.0151,135.03,PIX,Processando,1.564360,0,D01088,Scheduled,32.99,2025-04-22 17:16:52.000,2025-04-27 17:16:52.000,Atrasado,41,5,36,1,0.24431607790861290084,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1089,2025-03-22 11:38:24.000,P0012,259.72,0.1018,256.18,Debito,Confirmado,26.439496,1,D01089,Standard,22.90,2025-04-17 01:49:37.000,2025-04-20 01:49:37.000,A Caminho,29,3,26,1,0.08939027246467327660,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1090,2025-03-21 01:45:23.000,P0012,17.90,0.0399,50.18,Credito,Cancelado,0.714210,0,D01090,Scheduled,32.99,2025-05-07 05:09:23.000,2025-05-08 05:09:23.000,Trânsito,48,1,47,1,0.65743324033479473894,1,Credito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1091,2025-05-01 12:25:37.000,P0012,215.60,0.1179,233.08,PIX,Processando,25.419240,0,D01091,Same-Day,42.90,2025-04-19 03:57:29.000,2025-04-21 03:57:29.000,Atrasado,0,2,0,1,0.18405697614552943195,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1092,2025-04-25 06:34:29.000,P0012,769.90,0.1435,682.32,PIX,Em Analise,110.480650,0,D01092,Standard,22.90,2025-05-11 04:06:32.000,2025-05-11 04:06:32.000,A Caminho,16,0,16,0,0.03356196506038222535,0,PIX - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1093,2025-03-08 00:25:04.000,P0012,899.00,0.1352,810.45,Boleto,Confirmado,121.544800,1,D01093,Scheduled,32.99,2025-05-07 08:13:36.000,2025-05-09 08:13:36.000,Entregue,62,2,60,1,0.04070578073909556419,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1094,2025-02-16 13:54:24.000,P0012,99.80,0.0172,120.98,Credito,Confirmado,1.716560,1,D01094,Standard,22.90,2025-04-24 17:02:47.000,2025-04-29 17:02:47.000,A Caminho,72,5,67,1,0.18928748553479914035,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1095,2025-04-16 20:04:03.000,P0012,124.91,0.0554,150.98,Debito,Cancelado,6.920014,0,D01095,Scheduled,32.99,2025-05-16 07:00:42.000,2025-05-16 07:00:42.000,Atrasado,30,0,30,0,0.21850576235262948735,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1096,2025-05-05 00:44:13.000,P0012,4288.00,0.0546,4096.78,Credito,Cancelado,234.124800,0,D01096,Same-Day,42.90,2025-05-01 05:19:00.000,2025-05-06 05:19:00.000,Entregue,1,5,0,1,0.01047163870161443866,1,Credito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1097,2025-04-18 17:19:22.000,P0012,8226.39,0.0183,8118.75,PIX,Confirmado,150.542937,1,D01097,Same-Day,42.90,2025-04-22 18:22:45.000,2025-04-27 18:22:45.000,A Caminho,9,5,4,1,0.00528406466512702079,0,PIX - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1098,2025-05-17 06:50:45.000,P0012,519.44,0.0147,544.79,PIX,Confirmado,7.635768,1,D01098,Scheduled,32.99,2025-04-19 20:24:58.000,2025-04-20 20:24:58.000,Atrasado,0,1,0,1,0.06055544338185355825,0,PIX - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1099,2025-02-25 07:10:00.000,P0012,1539.80,0.0577,1493.85,Credito,Cancelado,88.846460,0,D01099,Same-Day,42.90,2025-05-04 14:55:45.000,2025-05-07 14:55:45.000,Trânsito,71,3,68,1,0.02871774274525554775,1,Credito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1100,2025-04-23 00:19:24.000,P0012,331.98,0.1488,315.57,PIX,Processando,49.398624,0,D01100,Scheduled,32.99,2025-04-20 03:38:38.000,2025-04-20 03:38:38.000,Entregue,0,0,0,0,0.10454098932091136673,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1101,2025-04-07 00:16:51.000,P0012,35.80,0.0853,65.74,Credito,Confirmado,3.053740,1,D01101,Scheduled,32.99,2025-05-04 18:24:09.000,2025-05-08 18:24:09.000,A Caminho,31,4,27,1,0.50182537268025555218,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1102,2025-04-18 12:05:14.000,P0012,53.90,0.0933,91.77,PIX,Cancelado,5.028870,0,D01102,Same-Day,42.90,2025-04-13 23:05:39.000,2025-04-17 23:05:39.000,Trânsito,0,4,0,1,0.46747303040209218699,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1103,2025-05-05 16:43:31.000,P0012,2144.00,0.0707,2015.32,Credito,Processando,151.580800,0,D01103,Standard,22.90,2025-04-28 10:37:22.000,2025-04-28 10:37:22.000,Trânsito,0,0,0,0,0.01136295972847984439,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1104,2025-04-16 20:23:30.000,P0012,3958.20,0.0993,3598.14,Credito,Processando,393.049260,0,D01104,Scheduled,32.99,2025-05-07 08:07:11.000,2025-05-08 08:07:11.000,Entregue,22,1,21,1,0.00916862601232859199,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1105,2025-04-16 10:01:15.000,P0012,249.82,0.1435,236.87,Boleto,Processando,35.849170,0,D01105,Standard,22.90,2025-04-19 15:17:23.000,2025-04-23 15:17:23.000,Trânsito,7,4,3,1,0.09667750242749187318,0,Boleto - Processando,Eletrônicos,Áudio e Vídeo,769.90
1106,2025-05-16 17:30:21.000,P0012,428.99,0.0883,414.01,Credito,Em Analise,37.879817,0,D01106,Standard,22.90,2025-05-09 18:28:29.000,2025-05-10 18:28:29.000,Atrasado,0,1,0,1,0.05531267360691770730,0,Credito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1107,2025-03-08 14:05:43.000,P0012,124.91,0.0098,156.68,Debito,Processando,1.224118,0,D01107,Scheduled,32.99,2025-04-29 12:00:41.000,2025-05-01 12:00:41.000,A Caminho,54,2,52,1,0.21055654837886137350,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
69,2025-05-06 00:20:48.000,P0012,3237.00,0.0552,3081.22,PIX,Cancelado,178.682400,0,D00069,Standard,22.90,2025-05-01 20:48:36.000,2025-05-05 20:48:36.000,A Caminho,0,4,0,1,0.00743212104296350147,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1108,2025-04-06 09:51:31.000,P0012,1979.10,0.0739,1855.74,PIX,Cancelado,146.255490,0,D01108,Standard,22.90,2025-04-18 20:55:57.000,2025-04-21 20:55:57.000,A Caminho,15,3,12,1,0.01234009074547080949,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1110,2025-04-13 11:54:10.000,P0012,374.73,0.0581,395.86,Credito,Cancelado,21.771813,0,D01110,Same-Day,42.90,2025-04-28 22:41:42.000,2025-05-02 22:41:42.000,Entregue,19,4,15,1,0.10837164654170666397,1,Credito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1111,2025-04-25 03:48:16.000,P0012,35.80,0.0891,75.51,Credito,Cancelado,3.189780,0,D01111,Same-Day,42.90,2025-04-20 21:23:11.000,2025-04-22 21:23:11.000,A Caminho,0,2,0,1,0.56813667063965037743,1,Credito - Cancelado,Eletrônicos,Áudio e Vídeo,769.90
1112,2025-03-14 21:37:43.000,P0012,53.90,0.0160,86.03,Boleto,Confirmado,0.862400,1,D01112,Scheduled,32.99,2025-04-27 08:07:40.000,2025-04-29 08:07:40.000,Trânsito,46,2,44,1,0.38347088225037777519,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1113,2025-03-20 02:52:13.000,P0012,2742.13,0.0212,2726.90,Debito,Confirmado,58.133156,1,D01113,Same-Day,42.90,2025-05-04 06:47:00.000,2025-05-07 06:47:00.000,Atrasado,48,3,45,1,0.01573215006050826946,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1114,2025-03-29 22:12:26.000,P0012,249.82,0.1312,239.94,Boleto,Confirmado,32.776384,1,D01114,Standard,22.90,2025-05-01 22:25:54.000,2025-05-02 22:25:54.000,Atrasado,34,1,33,1,0.09544052679836625823,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1115,2025-03-02 04:18:26.000,P0012,1799.01,0.0451,1750.86,Debito,Processando,81.135351,0,D01115,Scheduled,32.99,2025-04-17 07:12:00.000,2025-04-18 07:12:00.000,A Caminho,47,1,46,1,0.01884216899123859132,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1116,2025-03-31 20:04:01.000,P0012,2158.00,0.0458,2102.06,Debito,Confirmado,98.836400,1,D01116,Same-Day,42.90,2025-04-22 11:07:43.000,2025-04-22 11:07:43.000,A Caminho,22,0,22,0,0.02040855161127655728,0,Debito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1118,2025-05-14 00:55:37.000,P0012,49.90,0.1450,85.56,Debito,Processando,7.235500,0,D01118,Same-Day,42.90,2025-04-21 11:37:54.000,2025-04-24 11:37:54.000,Atrasado,0,3,0,1,0.50140252454417952314,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1119,2025-03-25 15:16:32.000,P0012,699.60,0.0127,713.62,Credito,Em Analise,8.884920,0,D01119,Standard,22.90,2025-05-07 19:19:13.000,2025-05-10 19:19:13.000,Trânsito,46,3,43,1,0.03208990779406406771,0,Credito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1120,2025-02-17 02:06:38.000,P0012,499.64,0.1228,461.18,Boleto,Confirmado,61.355792,1,D01120,Standard,22.90,2025-05-03 02:36:16.000,2025-05-06 02:36:16.000,Trânsito,78,3,75,1,0.04965523223036558394,0,Boleto - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1121,2025-03-16 17:43:47.000,P0012,949.00,0.0512,923.31,PIX,Processando,48.588800,0,D01121,Standard,22.90,2025-05-11 10:20:52.000,2025-05-11 10:20:52.000,A Caminho,56,0,56,0,0.02480207081045369378,0,PIX - Processando,Eletrônicos,Áudio e Vídeo,769.90
1122,2025-04-08 19:26:10.000,P0012,71.60,0.1274,85.38,Debito,Processando,9.121840,0,D01122,Standard,22.90,2025-05-02 11:46:03.000,2025-05-03 11:46:03.000,Trânsito,25,1,24,1,0.26821269618177559147,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1555,2025-04-24 08:19:03.000,P0012,4879.71,0.0321,4765.97,Credito,Processando,156.638691,0,D01555,Same-Day,42.90,2025-04-24 18:02:36.000,2025-04-28 18:02:36.000,A Caminho,4,4,0,1,0.00900131557689200729,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1556,2025-03-16 23:15:08.000,P0012,161.70,0.1160,185.84,Credito,Confirmado,18.757200,1,D01556,Same-Day,42.90,2025-05-16 16:48:58.000,2025-05-16 16:48:58.000,A Caminho,61,0,61,0,0.23084373654756780026,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
1562,2025-03-28 09:12:24.000,P0012,1898.00,0.0949,1760.78,Credito,Em Analise,180.120200,0,D01562,Same-Day,42.90,2025-04-27 13:35:49.000,2025-04-30 13:35:49.000,A Caminho,33,3,30,1,0.02436420222855779825,0,Credito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1563,2025-03-11 08:22:01.000,P0012,207.20,0.1479,199.46,Credito,Processando,30.644880,0,D01563,Standard,22.90,2025-05-15 04:16:31.000,2025-05-16 04:16:31.000,Trânsito,66,1,65,1,0.11480998696480497343,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1564,2025-03-03 11:23:35.000,P0012,1539.80,0.0508,1504.48,Boleto,Em Analise,78.221840,0,D01564,Same-Day,42.90,2025-04-26 20:24:12.000,2025-04-27 20:24:12.000,Trânsito,55,1,54,1,0.02851483569073699883,0,Boleto - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1565,2025-02-21 07:08:57.000,P0012,207.20,0.1457,219.91,Debito,Em Analise,30.189040,0,D01565,Same-Day,42.90,2025-05-02 16:56:33.000,2025-05-07 16:56:33.000,A Caminho,75,5,70,1,0.19507980537492610613,0,Debito - Em Analise,Eletrônicos,Áudio e Vídeo,769.90
1566,2025-04-22 19:54:18.000,P0012,2158.00,0.0218,2143.95,Debito,Processando,47.044400,0,D01566,Scheduled,32.99,2025-05-04 14:21:32.000,2025-05-09 14:21:32.000,Trânsito,17,5,12,1,0.01538748571561836797,0,Debito - Processando,Eletrônicos,Áudio e Vídeo,769.90
1567,2025-05-02 04:33:11.000,P0012,2742.13,0.0061,2768.30,Boleto,Processando,16.726993,0,D01567,Same-Day,42.90,2025-04-15 08:42:25.000,2025-04-18 08:42:25.000,Atrasado,0,3,0,1,0.01549687533865549254,0,Boleto - Processando,Eletrônicos,Áudio e Vídeo,769.90
